lr-SGD/pg1,lr-SGD/pg2,step,val_loss,val_acc,epoch,scale0,scale1,scale2,scale3,l1_reg,scale_reg,loss,train_acc
,,2367,,,31,1.9955317974090576,0.4219767153263092,2.0446178913116455,1.1142216920852661,0.0,1.4126321077346802,0.04107612371444702,0.9290540814399719
0.0001,0.001,2368,,,,,,,,,,,
,,2441,0.06640740483999252,0.9205297827720642,32,,,,,,,,
,,2441,,,32,1.9771084785461426,0.42292943596839905,2.0282342433929443,1.1259921789169312,0.0,1.406093955039978,0.04317969083786011,0.9391891956329346
0.0001,0.001,2442,,,,,,,,,,,
,,2515,0.060480426996946335,0.9205297827720642,33,,,,,,,,
,,2515,,,33,1.9719005823135376,0.42715904116630554,2.0263876914978027,1.1044554710388184,0.0,1.4042433500289917,0.0391639843583107,0.9493243098258972
0.0001,0.001,2516,,,,,,,,,,,
,,2589,0.05311009660363197,0.9337748289108276,34,,,,,,,,
,,2589,,,34,1.9753941297531128,0.4324002265930176,2.0340158939361572,1.0681052207946777,0.0,1.4054871797561646,0.05051610246300697,0.9290540814399719
0.0001,0.001,2590,,,,,,,,,,,
,,2663,0.05830579251050949,0.9271523356437683,35,,,,,,,,
,,2663,,,35,1.9701311588287354,0.4316658675670624,2.030264139175415,1.0703452825546265,0.0,1.4036130905151367,0.04852809011936188,0.9155405163764954
0.0001,0.001,2664,,,,,,,,,,,
,,2737,0.06189141049981117,0.9072847962379456,36,,,,,,,,
,,2737,,,36,1.963805079460144,0.41930603981018066,2.0221548080444336,1.1231961250305176,0.0,1.4013564586639404,0.058650195598602295,0.9189189076423645
0.0001,0.001,2738,,,,,,,,,,,
,,2811,0.05754874274134636,0.9072847962379456,37,,,,,,,,
,,2811,,,37,1.9378383159637451,0.4213515818119049,1.9971858263015747,1.1401054859161377,0.0,1.3920612335205078,0.053402725607156754,0.9290540814399719
0.0001,0.001,2812,,,,,,,,,,,
,,2885,0.05653921514749527,0.9337748289108276,38,,,,,,,,
,,2885,,,38,1.9360339641571045,0.4269604980945587,1.999450445175171,1.1058251857757568,0.0,1.391413688659668,0.051174093037843704,0.9324324131011963
0.0001,0.001,2886,,,,,,,,,,,
,,2959,0.052226580679416656,0.9470198750495911,39,,,,,,,,
,,2959,,,39,1.933315634727478,0.42166128754615784,1.9968632459640503,1.1332085132598877,0.0,1.390437126159668,0.04084200784564018,0.9527027010917664
0.0001,0.001,2960,,,,,,,,,,,
,,3033,0.061574406921863556,0.9470198750495911,40,,,,,,,,
,,3033,,,40,1.9228190183639526,0.4319141209125519,1.9914658069610596,1.1052831411361694,0.0,1.3866548538208008,0.05896519869565964,0.9087837934494019
0.0001,0.001,3034,,,,,,,,,,,
,,3107,0.06148546561598778,0.9337748289108276,41,,,,,,,,
,,3107,,,41,1.914842128753662,0.4372367262840271,1.9869310855865479,1.0949139595031738,0.0,1.3837779760360718,0.03312039375305176,0.9391891956329346
0.0001,0.001,3108,,,,,,,,,,,
,,3181,0.06123185157775879,0.9271523356437683,42,,,,,,,,
,,3181,,,42,1.9145524501800537,0.4377673864364624,1.9897791147232056,1.0798993110656738,0.0,1.3836736679077148,0.05094021186232567,0.9222972989082336
0.0001,0.001,3182,,,,,,,,,,,
,,3255,0.06841245293617249,0.9139072895050049,43,,,,,,,,
,,3255,,,43,1.9165946245193481,0.43585634231567383,1.9930675029754639,1.0820938348770142,0.0,1.3844109773635864,0.03186696767807007,0.9560810923576355
0.0001,0.001,3256,,,,,,,,,,,
,,3329,0.05646830052137375,0.940397322177887,44,,,,,,,,
,,3329,,,44,1.9097446203231812,0.4411940276622772,1.990456223487854,1.0642898082733154,0.0,1.3819339275360107,0.033003054559230804,0.9425675868988037
0.0001,0.001,3330,,,,,,,,,,,
,,3403,0.05676913633942604,0.940397322177887,45,,,,,,,,
,,3403,,,45,1.9176517724990845,0.43961650133132935,2.000783920288086,1.0582749843597412,0.0,1.3847918510437012,0.05963797867298126,0.912162184715271
0.0001,0.001,3404,,,,,,,,,,,
,,3477,0.05775478109717369,0.9139072895050049,46,,,,,,,,
,,3477,,,46,1.9245097637176514,0.43442773818969727,2.0074379444122314,1.0792189836502075,0.0,1.3872668743133545,0.03898591548204422,0.9493243098258972
0.0001,0.001,3478,,,,,,,,,,,
,,3551,0.06265620142221451,0.940397322177887,47,,,,,,,,
,,3551,,,47,1.922864556312561,0.42915329337120056,2.005000591278076,1.1108522415161133,0.0,1.3866736888885498,0.018699727952480316,0.9864864945411682
0.0001,0.001,3552,,,,,,,,,,,
,,3625,0.06757231801748276,0.887417197227478,48,,,,,,,,
,,3625,,,48,1.925720453262329,0.42740240693092346,2.0096402168273926,1.111218810081482,0.0,1.3877030611038208,0.02947639487683773,0.9560810923576355
0.0001,0.001,3626,,,,,,,,,,,
,,3699,0.06397344917058945,0.940397322177887,49,,,,,,,,
,,3699,,,49,1.941428780555725,0.42424461245536804,2.027069091796875,1.1107486486434937,0.0,1.3933502435684204,0.040155913680791855,0.9290540814399719
0.0001,0.001,3700,,,,,,,,,,,
,,3773,0.07457681000232697,0.887417197227478,50,,,,,,,,
,,3773,,,50,1.94071364402771,0.42457470297813416,2.0291054248809814,1.0996344089508057,0.0,1.3930950164794922,0.04508959501981735,0.9222972989082336
0.0001,0.001,3774,,,,,,,,,,,
,,3847,0.06662920117378235,0.9139072895050049,51,,,,,,,,
,,3847,,,51,1.948761224746704,0.4211218059062958,2.039414167404175,1.096502661705017,0.0,1.395979642868042,0.03791400417685509,0.9459459185600281
0.0001,0.001,3848,,,,,,,,,,,
,,3921,0.05479134991765022,0.9337748289108276,52,,,,,,,,
,,3921,,,52,1.949092149734497,0.4295429289340973,2.0467450618743896,1.0408663749694824,0.0,1.3960987329483032,0.03408108651638031,0.9560810923576355
0.0001,0.001,3922,,,,,,,,,,,
,,3995,0.054118938744068146,0.9470198750495911,53,,,,,,,,
,,3995,,,53,1.9453167915344238,0.42802515625953674,2.0442633628845215,1.0381224155426025,0.0,1.3947458267211914,0.05871450528502464,0.9087837934494019
0.0001,0.001,3996,,,,,,,,,,,
,,4069,0.055799730122089386,0.940397322177887,54,,,,,,,,
,,4069,,,54,1.9469579458236694,0.4230073392391205,2.0460312366485596,1.053305983543396,0.0,1.3953344821929932,0.03836938738822937,0.9425675868988037
0.0001,0.001,4070,,,,,,,,,,,
,,4143,0.05717183277010918,0.9602649211883545,55,,,,,,,,
,,4143,,,55,1.9424693584442139,0.42637166380882263,2.0454154014587402,1.0393037796020508,0.0,1.3937245607376099,0.03588968515396118,0.9560810923576355
0.0001,0.001,4144,,,,,,,,,,,
,,4217,0.06274022907018661,0.9337748289108276,56,,,,,,,,
,,4217,,,56,1.9341973066329956,0.43186113238334656,2.0415282249450684,1.0204944610595703,0.0,1.3907532691955566,0.04562082886695862,0.9459459185600281
0.0001,0.001,4218,,,,,,,,,,,
,,4291,0.061393022537231445,0.9072847962379456,57,,,,,,,,
,,4291,,,57,1.9182496070861816,0.4237087368965149,2.0195870399475098,1.0936453342437744,0.0,1.385007619857788,0.06287842988967896,0.8918918967247009
0.0001,0.001,4292,,,,,,,,,,,
,,4365,0.05598628893494606,0.9271523356437683,58,,,,,,,,
,,4365,,,58,1.9067020416259766,0.4198265075683594,2.0071191787719727,1.1217734813690186,0.0,1.3808330297470093,0.0358828604221344,0.9459459185600281
0.0001,0.001,4366,,,,,,,,,,,
,,4439,0.06013958528637886,0.9139072895050049,59,,,,,,,,
,,4439,,,59,1.9025217294692993,0.4189448058605194,2.005122184753418,1.1253976821899414,0.0,1.3793190717697144,0.03739149123430252,0.9459459185600281
0.0001,0.001,4440,,,,,,,,,,,
,,4513,0.0575423464179039,0.9139072895050049,60,,,,,,,,
,,4513,,,60,1.9056679010391235,0.4227645695209503,2.0130977630615234,1.1033496856689453,0.0,1.3804577589035034,0.04699588939547539,0.9358108043670654
0.0001,0.001,4514,,,,,,,,,,,
,,4587,0.061768677085638046,0.9072847962379456,61,,,,,,,,
,,4587,,,61,1.9229841232299805,0.42183563113212585,2.0337839126586914,1.079511046409607,0.0,1.3867161273956299,0.056724946945905685,0.9358108043670654
0.0001,0.001,4588,,,,,,,,,,,
,,4661,0.058728963136672974,0.9205297827720642,62,,,,,,,,
,,4661,,,62,1.9154980182647705,0.4153958261013031,2.023710250854492,1.1057355403900146,0.0,1.3840147256851196,0.03725980967283249,0.9459459185600281
0.0001,0.001,4662,,,,,,,,,,,
,,4735,0.0643296167254448,0.9006622433662415,63,,,,,,,,
,,4735,,,63,1.910822868347168,0.4142826497554779,2.019937753677368,1.114637017250061,0.0,1.38232421875,0.030190303921699524,0.9560810923576355
0.0001,0.001,4736,,,,,,,,,,,
,,4809,0.05884656310081482,0.9337748289108276,64,,,,,,,,
,,4809,,,64,1.9043265581130981,0.4237036108970642,2.020524263381958,1.07697331905365,0.0,1.37997305393219,0.039499275386333466,0.9560810923576355
0.0001,0.001,4810,,,,,,,,,,,
,,4883,0.068501777946949,0.9139072895050049,65,,,,,,,,
,,4883,,,65,1.8999990224838257,0.43036314845085144,2.022764205932617,1.0399593114852905,0.0,1.3784042596817017,0.05045705661177635,0.9256756901741028
0.0001,0.001,4884,,,,,,,,,,,
,,4957,0.05896696448326111,0.9139072895050049,66,,,,,,,,
,,4957,,,66,1.8822858333587646,0.4378223419189453,2.0106847286224365,1.0216090679168701,0.0,1.3719624280929565,0.04490762948989868,0.9391891956329346
0.0001,0.001,4958,,,,,,,,,,,
,,5031,0.06261144578456879,0.8940397500991821,67,,,,,,,,
,,5031,,,67,1.8792266845703125,0.43623095750808716,2.010465145111084,1.0131168365478516,0.0,1.3708469867706299,0.032918769866228104,0.9459459185600281
0.0001,0.001,5032,,,,,,,,,,,
,,5105,0.055439293384552,0.940397322177887,68,,,,,,,,
,,5105,,,68,1.9006834030151367,0.42555883526802063,2.0291531085968018,1.0376033782958984,0.0,1.378650188446045,0.05225042253732681,0.9054054021835327
0.0001,0.001,5106,,,,,,,,,,,
,,5179,0.05308691784739494,0.9470198750495911,69,,,,,,,,
,,5179,,,69,1.9134618043899536,0.41776129603385925,2.038870334625244,1.0641121864318848,0.0,1.3832792043685913,0.04158199951052666,0.9290540814399719
